defense_team,position,avg_pts_pg,avg_yards_pg,avg_td_pg,games_count,opponent_strength_index,osi_scaled_0_100
DAL,QB,25.36,296.67,2.89,9,66.58,100.0
JAX,QB,22.72,301.88,2.75,8,63.91,90.9
PIT,QB,21.37,313.38,2.13,8,61.2,81.6
WAS,QB,21.4,287.33,2.22,9,59.02,74.1
CHI,QB,21.28,270.5,2.63,8,58.83,73.4
NYG,QB,21.05,270.89,2.0,9,56.14,64.2
CIN,QB,20.61,251.11,2.33,9,55.05,60.5
IND,QB,17.32,276.0,1.67,9,51.58,48.6
MIA,QB,19.58,232.22,2.11,9,51.25,47.5
TB,QB,17.02,278.38,1.5,8,50.86,46.1
LV,QB,17.95,256.75,1.75,8,50.62,45.3
TEN,QB,17.96,253.0,1.78,9,50.37,44.5
BAL,QB,18.11,247.0,1.88,8,50.31,44.3
NO,QB,18.32,235.56,2.11,9,50.32,44.3
SF,QB,17.81,251.56,1.78,9,50.08,43.5
NYJ,QB,18.82,230.63,2.0,8,49.88,42.8
SEA,QB,17.41,262.5,1.5,8,49.66,42.0
CLE,QB,17.21,248.5,1.88,8,49.56,41.7
MIN,QB,17.58,247.38,1.75,8,49.32,40.9
DET,QB,18.53,217.0,2.25,8,49.23,40.6
PHI,QB,17.48,251.25,1.38,8,48.1,36.7
NE,QB,16.26,250.56,1.67,9,47.98,36.3
ARI,QB,15.79,262.25,1.25,8,47.02,33.0
CAR,QB,15.98,228.67,1.56,9,45.07,26.3
KC,QB,16.44,221.89,1.56,9,44.85,25.6
LAR,QB,14.69,243.5,1.25,8,44.04,22.8
DEN,QB,14.32,245.89,1.11,9,43.35,20.4
GB,QB,15.23,202.0,1.63,8,41.93,15.6
ATL,QB,15.16,195.25,1.75,8,41.69,14.7
LAC,QB,14.49,217.33,1.11,9,40.67,11.2
BUF,QB,13.72,216.88,1.0,8,39.41,6.9
HOU,QB,12.51,208.75,1.0,8,37.39,0.0
CIN,RB,33.42,185.78,1.67,9,58.66,100.0
DAL,RB,27.07,157.33,1.11,9,47.24,67.2
NYG,RB,26.9,153.44,1.22,9,47.13,66.9
TEN,RB,25.82,134.89,1.56,9,45.53,62.3
BAL,RB,26.32,138.25,1.25,8,45.15,61.2
MIA,RB,25.52,157.44,0.78,9,44.38,59.0
BUF,RB,23.43,128.0,1.25,8,41.23,50.0
NYJ,RB,22.82,129.5,1.13,8,40.27,47.2
PHI,RB,22.81,123.13,1.25,8,40.13,46.8
CHI,RB,22.73,132.25,1.0,8,39.95,46.3
ATL,RB,23.02,129.0,1.0,8,39.92,46.2
NO,RB,22.4,134.0,1.0,9,39.8,45.9
TB,RB,23.21,128.38,0.88,8,39.55,45.2
LV,RB,22.95,112.0,1.13,8,38.65,42.6
WAS,RB,21.1,132.11,0.78,9,37.42,39.1
SF,RB,21.68,121.22,0.78,9,36.91,37.6
CAR,RB,21.0,121.11,0.78,9,36.22,35.6
LAC,RB,20.9,113.44,0.89,9,35.8,34.4
ARI,RB,20.26,113.88,0.88,8,35.15,32.6
MIN,RB,19.63,125.0,0.63,8,34.63,31.1
PIT,RB,19.75,121.25,0.5,8,33.88,28.9
HOU,RB,19.65,100.25,1.0,8,33.68,28.3
SEA,RB,19.94,104.38,0.63,8,32.88,26.0
IND,RB,19.0,101.11,0.78,9,32.22,24.2
DEN,RB,18.04,110.44,0.78,9,32.2,24.1
KC,RB,18.69,111.33,0.56,9,32.04,23.6
JAX,RB,18.7,105.75,0.63,8,31.77,22.9
GB,RB,18.29,101.63,0.5,8,30.45,19.1
DET,RB,16.73,96.0,0.5,8,28.33,13.0
NE,RB,17.2,93.11,0.33,9,27.84,11.6
CLE,RB,15.44,99.25,0.5,8,27.36,10.2
LAR,RB,13.65,96.5,0.13,8,23.8,0.0
CIN,TE,22.83,80.56,1.33,9,36.22,100.0
JAX,TE,18.7,75.75,0.75,8,29.27,75.3
PIT,TE,18.04,72.88,0.75,8,28.32,72.0
IND,TE,17.76,75.33,0.56,9,27.51,69.1
MIA,TE,17.01,69.0,0.67,9,26.58,65.8
WAS,TE,15.92,60.33,0.78,9,25.07,60.4
NE,TE,15.28,63.89,0.56,9,23.89,56.3
MIN,TE,15.4,59.0,0.63,8,23.8,55.9
ARI,TE,15.44,68.13,0.38,8,23.75,55.8
GB,TE,15.88,51.25,0.63,8,23.5,54.9
SEA,TE,15.5,63.75,0.38,8,23.38,54.5
CHI,TE,15.24,57.38,0.5,8,22.97,53.0
CAR,TE,14.58,64.67,0.44,9,22.82,52.5
NO,TE,14.54,56.56,0.56,9,22.42,51.0
NYJ,TE,13.97,43.5,0.75,8,21.32,47.1
DAL,TE,13.78,55.56,0.33,9,20.67,44.8
CLE,TE,12.92,48.0,0.63,8,20.22,43.2
TB,TE,13.41,47.88,0.5,8,20.2,43.2
BAL,TE,12.95,58.25,0.25,8,19.77,41.6
NYG,TE,13.04,49.44,0.44,9,19.76,41.6
DET,TE,12.7,49.5,0.5,8,19.65,41.2
LAR,TE,12.46,45.88,0.5,8,19.05,39.1
DEN,TE,11.47,53.56,0.33,9,18.16,35.9
SF,TE,11.92,43.67,0.44,9,18.07,35.6
TEN,TE,11.97,47.44,0.33,9,18.04,35.5
KC,TE,10.59,49.22,0.22,9,16.4,29.7
LAC,TE,9.97,36.33,0.44,9,15.38,26.1
LV,TE,9.76,45.13,0.25,8,15.27,25.7
HOU,TE,9.54,36.63,0.38,8,14.7,23.7
PHI,TE,8.01,32.63,0.13,8,11.77,13.3
BUF,TE,6.53,27.75,0.13,8,9.8,6.3
ATL,TE,5.33,22.0,0.13,8,8.03,0.0
PIT,WR,43.49,204.88,1.0,8,67.98,100.0
DAL,WR,40.28,178.33,1.78,9,65.22,90.5
WAS,WR,39.34,192.33,1.22,9,63.47,84.5
LV,WR,39.14,172.63,1.13,8,60.9,75.7
BAL,WR,37.96,170.88,1.25,8,60.05,72.8
CHI,WR,36.75,158.75,1.63,8,59.13,69.7
DET,WR,35.11,152.38,1.5,8,56.35,60.2
TEN,WR,34.32,164.33,1.0,9,54.76,54.7
IND,WR,34.77,155.44,1.0,9,54.31,53.2
NYG,WR,34.38,160.44,0.89,9,53.98,52.0
SF,WR,34.14,157.0,0.78,9,52.96,48.5
CIN,WR,33.04,158.33,1.0,9,52.88,48.3
CLE,WR,33.25,145.0,1.25,8,52.75,47.8
JAX,WR,33.55,141.75,1.25,8,52.72,47.7
NO,WR,32.9,141.22,1.22,9,51.91,44.9
PHI,WR,31.75,162.5,0.5,8,50.0,38.4
GB,WR,31.93,141.75,0.88,8,49.6,37.0
TB,WR,30.79,142.88,0.88,8,48.58,33.5
NYJ,WR,30.32,147.0,0.88,8,48.52,33.3
ARI,WR,31.07,153.25,0.5,8,48.4,32.9
BUF,WR,30.02,142.75,0.88,8,47.8,30.9
MIN,WR,28.6,139.75,1.0,8,46.57,26.7
SEA,WR,29.69,133.13,0.75,8,46.0,24.7
NE,WR,28.51,126.22,1.11,9,45.58,23.3
LAR,WR,28.76,138.88,0.63,8,45.15,21.8
HOU,WR,28.3,143.0,0.5,8,44.6,19.9
CAR,WR,28.23,136.78,0.67,9,44.58,19.8
ATL,WR,27.75,125.0,1.0,8,44.25,18.7
KC,WR,28.17,121.67,0.67,9,43.0,14.4
MIA,WR,26.32,117.67,0.89,9,41.64,9.8
DEN,WR,25.84,128.44,0.22,9,39.58,2.7
LAC,WR,25.2,118.11,0.44,9,38.79,0.0
